time,label
0,normal
1,normal
2,normal
3,normal
4,normal
5,normal
6,normal
7,normal
8,normal
9,normal
10,normal
11,normal
12,normal
13,normal
14,normal
15,normal
16,normal
17,normal
18,normal
19,normal
20,normal
21,normal
22,normal
23,normal
24,normal
25,normal
26,normal
27,normal
28,normal
29,normal
30,normal
31,normal
32,normal
33,normal
34,normal
35,normal
36,normal
37,normal
38,normal
39,normal
40,normal
41,normal
42,normal
43,normal
44,normal
45,normal
46,normal
47,normal
48,normal
49,normal
50,normal
51,normal
52,normal
53,normal
54,normal
55,normal
56,normal
57,normal
58,normal
59,normal
60,normal
61,normal
62,normal
63,normal
64,normal
65,normal
66,normal
67,normal
68,normal
69,normal
70,normal
71,normal
72,normal
73,normal
74,normal
75,normal
76,normal
77,normal
78,normal
79,normal
80,normal
81,normal
82,normal
83,normal
84,normal
85,normal
86,normal
87,normal
88,normal
89,normal
90,normal
91,normal
92,normal
93,normal
94,normal
95,normal
96,normal
97,normal
98,normal
99,normal
100,normal
101,normal
102,normal
103,normal
104,normal
105,normal
106,normal
107,normal
108,normal
109,normal
110,normal
111,normal
112,normal
113,normal
114,normal
115,normal
116,normal
117,normal
118,normal
119,normal
120,normal
121,normal
122,normal
123,normal
124,normal
125,normal
126,normal
127,normal
128,normal
129,normal
130,normal
131,normal
132,normal
133,normal
134,normal
135,normal
136,normal
137,normal
138,normal
139,normal
140,normal
141,normal
142,normal
143,normal
144,normal
145,normal
146,normal
147,normal
148,normal
149,normal
150,normal
151,normal
152,normal
153,normal
154,normal
155,normal
156,normal
157,normal
158,normal
159,normal
160,normal
161,normal
162,normal
163,normal
164,normal
165,normal
166,normal
167,normal
168,normal
169,normal
170,normal
171,normal
172,normal
173,normal
174,normal
175,normal
176,normal
177,normal
178,normal
179,normal
180,normal
181,normal
182,normal
183,normal
184,normal
185,normal
186,normal
187,normal
188,normal
189,normal
190,normal
191,normal
192,normal
193,normal
194,normal
195,normal
196,normal
197,normal
198,normal
199,normal
200,normal
201,normal
202,normal
203,normal
204,normal
205,normal
206,normal
207,normal
208,normal
209,normal
210,normal
211,normal
212,normal
213,normal
214,normal
215,normal
216,normal
217,normal
218,normal
219,normal
220,normal
221,normal
222,normal
223,normal
224,normal
225,normal
226,normal
227,normal
228,normal
229,normal
230,normal
231,normal
232,normal
233,normal
234,normal
235,normal
236,normal
237,normal
238,normal
239,normal
240,normal
241,normal
242,normal
243,normal
244,normal
245,normal
246,normal
247,normal
248,normal
249,normal
250,normal
251,normal
252,normal
253,normal
254,normal
255,normal
256,normal
257,normal
258,normal
259,normal
260,normal
261,normal
262,normal
263,normal
264,normal
265,normal
266,normal
267,normal
268,normal
269,normal
270,normal
271,normal
272,normal
273,normal
274,normal
275,normal
276,normal
277,normal
278,normal
279,normal
280,normal
281,normal
282,normal
283,normal
284,normal
285,normal
286,normal
287,normal
288,normal
289,normal
290,normal
291,normal
292,normal
293,normal
294,normal
295,normal
296,normal
297,normal
298,normal
299,normal
300,ifa
301,ifa
302,ifa
303,ifa
304,ifa
305,ifa
306,ifa
307,ifa
308,ifa
309,ifa
310,ifa
311,ifa
312,ifa
313,ifa
314,ifa
315,ifa
316,ifa
317,ifa
318,ifa
319,ifa
320,ifa
321,ifa
322,ifa
323,ifa
324,ifa
325,ifa
326,ifa
327,ifa
328,ifa
329,ifa
330,ifa
331,ifa
332,ifa
333,ifa
334,ifa
335,ifa
336,ifa
337,ifa
338,ifa
339,ifa
340,ifa
341,ifa
342,ifa
343,ifa
344,ifa
345,ifa
346,ifa
347,ifa
348,ifa
349,ifa
350,ifa
351,ifa
352,ifa
353,ifa
354,ifa
355,ifa
356,ifa
357,ifa
358,ifa
359,ifa
360,ifa
361,ifa
362,ifa
363,ifa
364,ifa
