Time	Node	Type	Packets	
1	0	CacheHits	0
1	0	CacheMisses	12
1	1	CacheHits	1
1	1	CacheMisses	11
1	2	CacheHits	0
1	2	CacheMisses	14
1	3	CacheHits	0
1	3	CacheMisses	24
1	4	CacheHits	0
1	4	CacheMisses	2
1	5	CacheHits	5
1	5	CacheMisses	30
1	6	CacheHits	0
1	6	CacheMisses	26
1	7	CacheHits	0
1	7	CacheMisses	26
1	8	CacheHits	0
1	8	CacheMisses	26
1	9	CacheHits	0
1	9	CacheMisses	3
2	0	CacheHits	1
2	0	CacheMisses	9
2	1	CacheHits	3
2	1	CacheMisses	7
2	2	CacheHits	3
2	2	CacheMisses	7
2	3	CacheHits	0
2	3	CacheMisses	17
2	4	CacheHits	0
2	4	CacheMisses	0
2	5	CacheHits	6
2	5	CacheMisses	17
2	6	CacheHits	0
2	6	CacheMisses	17
2	7	CacheHits	0
2	7	CacheMisses	17
2	8	CacheHits	0
2	8	CacheMisses	17
2	9	CacheHits	0
2	9	CacheMisses	0
3	0	CacheHits	4
3	0	CacheMisses	6
3	1	CacheHits	4
3	1	CacheMisses	6
3	2	CacheHits	3
3	2	CacheMisses	7
3	3	CacheHits	0
3	3	CacheMisses	12
3	4	CacheHits	0
3	4	CacheMisses	0
3	5	CacheHits	7
3	5	CacheMisses	12
3	6	CacheHits	0
3	6	CacheMisses	12
3	7	CacheHits	0
3	7	CacheMisses	12
3	8	CacheHits	0
3	8	CacheMisses	12
3	9	CacheHits	0
3	9	CacheMisses	0
4	0	CacheHits	5
4	0	CacheMisses	5
4	1	CacheHits	8
4	1	CacheMisses	2
4	2	CacheHits	5
4	2	CacheMisses	5
4	3	CacheHits	0
4	3	CacheMisses	7
4	4	CacheHits	0
4	4	CacheMisses	0
4	5	CacheHits	5
4	5	CacheMisses	7
4	6	CacheHits	0
4	6	CacheMisses	7
4	7	CacheHits	0
4	7	CacheMisses	7
4	8	CacheHits	0
4	8	CacheMisses	7
4	9	CacheHits	0
4	9	CacheMisses	0
5	0	CacheHits	4
5	0	CacheMisses	6
5	1	CacheHits	6
5	1	CacheMisses	4
5	2	CacheHits	6
5	2	CacheMisses	4
5	3	CacheHits	0
5	3	CacheMisses	4
5	4	CacheHits	0
5	4	CacheMisses	0
5	5	CacheHits	10
5	5	CacheMisses	4
5	6	CacheHits	0
5	6	CacheMisses	4
5	7	CacheHits	0
5	7	CacheMisses	4
5	8	CacheHits	0
5	8	CacheMisses	4
5	9	CacheHits	0
5	9	CacheMisses	0
6	0	CacheHits	4
6	0	CacheMisses	6
6	1	CacheHits	6
6	1	CacheMisses	4
6	2	CacheHits	3
6	2	CacheMisses	7
6	3	CacheHits	0
6	3	CacheMisses	5
6	4	CacheHits	0
6	4	CacheMisses	0
6	5	CacheHits	12
6	5	CacheMisses	5
6	6	CacheHits	0
6	6	CacheMisses	5
6	7	CacheHits	0
6	7	CacheMisses	5
6	8	CacheHits	0
6	8	CacheMisses	5
6	9	CacheHits	0
6	9	CacheMisses	0
7	0	CacheHits	6
7	0	CacheMisses	4
7	1	CacheHits	3
7	1	CacheMisses	7
7	2	CacheHits	6
7	2	CacheMisses	4
7	3	CacheHits	0
7	3	CacheMisses	6
7	4	CacheHits	0
7	4	CacheMisses	0
