Time	Node	FaceId	FaceDescr	Type	Packets	Kilobytes	PacketRaw	KilobytesRaw
1	0	257	netdev://[00:00:00:00:00:01]	InInterests	8	0.171875	10	0.214844
1	0	257	netdev://[00:00:00:00:00:01]	OutInterests	0	0	0	0
1	0	257	netdev://[00:00:00:00:00:01]	InData	0	0	0	0
1	0	257	netdev://[00:00:00:00:00:01]	OutData	8	8.23438	10	10.293
1	0	257	netdev://[00:00:00:00:00:01]	InNacks	0	0	0	0
1	0	257	netdev://[00:00:00:00:00:01]	OutNacks	0	0	0	0
1	0	257	netdev://[00:00:00:00:00:01]	InSatisfiedInterests	8	0	10	0
1	0	257	netdev://[00:00:00:00:00:01]	InTimedOutInterests	0	0	0	0
1	0	257	netdev://[00:00:00:00:00:01]	OutSatisfiedInterests	0	0	0	0
1	0	257	netdev://[00:00:00:00:00:01]	OutTimedOutInterests	0	0	0	0
1	0	258	appFace://	InInterests	0	0	0	0
1	0	258	appFace://	OutInterests	8	0.171875	10	0.214844
1	0	258	appFace://	InData	8	8.23438	10	10.293
1	0	258	appFace://	OutData	0	0	0	0
1	0	258	appFace://	InNacks	0	0	0	0
1	0	258	appFace://	OutNacks	0	0	0	0
1	0	258	appFace://	InSatisfiedInterests	0	0	0	0
1	0	258	appFace://	InTimedOutInterests	0	0	0	0
1	0	258	appFace://	OutSatisfiedInterests	8	0	10	0
1	0	258	appFace://	OutTimedOutInterests	0	0	0	0
1	0	-1	all	SatisfiedInterests	8	0	10	0
1	0	-1	all	TimedOutInterests	0	0	0	0
1	1	257	netdev://[00:00:00:00:00:03]	InInterests	8	0.171875	10	0.214844
1	1	257	netdev://[00:00:00:00:00:03]	OutInterests	0	0	0	0
1	1	257	netdev://[00:00:00:00:00:03]	InData	0	0	0	0
1	1	257	netdev://[00:00:00:00:00:03]	OutData	8	8.23438	10	10.293
1	1	257	netdev://[00:00:00:00:00:03]	InNacks	0	0	0	0
1	1	257	netdev://[00:00:00:00:00:03]	OutNacks	0	0	0	0
1	1	257	netdev://[00:00:00:00:00:03]	InSatisfiedInterests	8	0	10	0
1	1	257	netdev://[00:00:00:00:00:03]	InTimedOutInterests	0	0	0	0
1	1	257	netdev://[00:00:00:00:00:03]	OutSatisfiedInterests	0	0	0	0
1	1	257	netdev://[00:00:00:00:00:03]	OutTimedOutInterests	0	0	0	0
1	1	258	appFace://	InInterests	0	0	0	0
1	1	258	appFace://	OutInterests	8	0.171875	10	0.214844
1	1	258	appFace://	InData	8	8.23438	10	10.293
1	1	258	appFace://	OutData	0	0	0	0
1	1	258	appFace://	InNacks	0	0	0	0
1	1	258	appFace://	OutNacks	0	0	0	0
1	1	258	appFace://	InSatisfiedInterests	0	0	0	0
1	1	258	appFace://	InTimedOutInterests	0	0	0	0
1	1	258	appFace://	OutSatisfiedInterests	8	0	10	0
1	1	258	appFace://	OutTimedOutInterests	0	0	0	0
1	1	-1	all	SatisfiedInterests	8	0	10	0
1	1	-1	all	TimedOutInterests	0	0	0	0
1	2	1	internal://	InInterests	0	0	0	0
1	2	1	internal://	OutInterests	0	0	0	0
1	2	1	internal://	InData	0	0	0	0
1	2	1	internal://	OutData	0	0	0	0
1	2	1	internal://	InNacks	0	0	0	0
1	2	1	internal://	OutNacks	0	0	0	0
1	2	1	internal://	InSatisfiedInterests	0	0	0	0
1	2	1	internal://	InTimedOutInterests	0	0	0	0
1	2	1	internal://	OutSatisfiedInterests	2.4	0	3	0
1	2	1	internal://	OutTimedOutInterests	0	0	0	0
1	2	256	internal://	InInterests	0	0	0	0
1	2	256	internal://	OutInterests	0	0	0	0
1	2	256	internal://	InData	0	0	0	0
1	2	256	internal://	OutData	0	0	0	0
1	2	256	internal://	InNacks	0	0	0	0
1	2	256	internal://	OutNacks	0	0	0	0
1	2	256	internal://	InSatisfiedInterests	2.4	0	3	0
1	2	256	internal://	InTimedOutInterests	0	0	0	0
1	2	256	internal://	OutSatisfiedInterests	0	0	0	0
1	2	256	internal://	OutTimedOutInterests	0	0	0	0
1	2	257	netdev://[00:00:00:00:00:02]	InInterests	0	0	0	0
1	2	257	netdev://[00:00:00:00:00:02]	OutInterests	8	0.171875	10	0.214844
1	2	257	netdev://[00:00:00:00:00:02]	InData	8	8.23438	10	10.293
1	2	257	netdev://[00:00:00:00:00:02]	OutData	0	0	0	0
1	2	257	netdev://[00:00:00:00:00:02]	InNacks	0	0	0	0
1	2	257	netdev://[00:00:00:00:00:02]	OutNacks	0	0	0	0
1	2	257	netdev://[00:00:00:00:00:02]	InSatisfiedInterests	0	0	0	0
1	2	257	netdev://[00:00:00:00:00:02]	InTimedOutInterests	0	0	0	0
1	2	257	netdev://[00:00:00:00:00:02]	OutSatisfiedInterests	8	0	10	0
1	2	257	netdev://[00:00:00:00:00:02]	OutTimedOutInterests	0	0	0	0
1	2	258	netdev://[00:00:00:00:00:04]	InInterests	0	0	0	0
1	2	258	netdev://[00:00:00:00:00:04]	OutInterests	8	0.171875	10	0.214844
1	2	258	netdev://[00:00:00:00:00:04]	InData	8	8.23438	10	10.293
1	2	258	netdev://[00:00:00:00:00:04]	OutData	0	0	0	0
1	2	258	netdev://[00:00:00:00:00:04]	InNacks	0	0	0	0
1	2	258	netdev://[00:00:00:00:00:04]	OutNacks	0	0	0	0
1	2	258	netdev://[00:00:00:00:00:04]	InSatisfiedInterests	0	0	0	0
1	2	258	netdev://[00:00:00:00:00:04]	InTimedOutInterests	0	0	0	0
1	2	258	netdev://[00:00:00:00:00:04]	OutSatisfiedInterests	8	0	10	0
1	2	258	netdev://[00:00:00:00:00:04]	OutTimedOutInterests	0	0	0	0
1	2	259	netdev://[00:00:00:00:00:05]	InInterests	16	0.34375	20	0.429688
1	2	259	netdev://[00:00:00:00:00:05]	OutInterests	0	0	0	0
1	2	259	netdev://[00:00:00:00:00:05]	InData	0	0	0	0
1	2	259	netdev://[00:00:00:00:00:05]	OutData	8	8.23438	10	10.293
1	2	259	netdev://[00:00:00:00:00:05]	InNacks	0	0	0	0
1	2	259	netdev://[00:00:00:00:00:05]	OutNacks	0	0	0	0
1	2	259	netdev://[00:00:00:00:00:05]	InSatisfiedInterests	8	0	10	0
1	2	259	netdev://[00:00:00:00:00:05]	InTimedOutInterests	0	0	0	0
1	2	259	netdev://[00:00:00:00:00:05]	OutSatisfiedInterests	0	0	0	0
1	2	259	netdev://[00:00:00:00:00:05]	OutTimedOutInterests	0	0	0	0
