Time	Node	AppId	SeqNo	Type	DelayS	DelayUS	RetxCount	HopCount
0.0626256	6	0	63	LastDelay	0.0626256	62625.6	1	3
0.0626256	6	0	63	FullDelay	0.0626256	62625.6	1	3
0.0634792	8	0	34	LastDelay	0.0634792	63479.2	1	3
0.0634792	8	0	34	FullDelay	0.0634792	63479.2	1	3
0.0643328	7	0	97	LastDelay	0.0643328	64332.8	1	3
0.0643328	7	0	97	FullDelay	0.0643328	64332.8	1	3
0.0651864	9	0	1	LastDelay	0.0651864	65186.4	1	3
0.0651864	9	0	1	FullDelay	0.0651864	65186.4	1	3
0.0835008	10	0	28	LastDelay	0.0835008	83500.8	1	4
0.0835008	10	0	28	FullDelay	0.0835008	83500.8	1	4
0.0843544	11	0	55	LastDelay	0.0843544	84354.4	1	4
0.0843544	11	0	55	FullDelay	0.0843544	84354.4	1	4
0.162626	6	0	21	LastDelay	0.0626256	62625.6	1	3
0.162626	6	0	21	FullDelay	0.0626256	62625.6	1	3
0.163479	8	0	23	LastDelay	0.0634792	63479.2	1	3
0.163479	8	0	23	FullDelay	0.0634792	63479.2	1	3
0.164333	7	0	9	LastDelay	0.0643328	64332.8	1	3
0.164333	7	0	9	FullDelay	0.0643328	64332.8	1	3
0.165186	9	0	5	LastDelay	0.0651864	65186.4	1	3
0.165186	9	0	5	FullDelay	0.0651864	65186.4	1	3
0.17604	10	0	5	LastDelay	0.07604	76040	1	4
0.17604	10	0	5	FullDelay	0.07604	76040	1	4
0.183522	11	0	2	LastDelay	0.0835224	83522.4	1	4
0.183522	11	0	2	FullDelay	0.0835224	83522.4	1	4
0.2	11	0	2	LastDelay	0	0	1	4
0.2	11	0	2	FullDelay	0	0	1	4
0.220875	7	0	2	LastDelay	0.0208752	20875.2	1	3
0.220875	7	0	2	FullDelay	0.0208752	20875.2	1	3
0.241772	9	0	2	LastDelay	0.041772	41772	1	3
0.241772	9	0	2	FullDelay	0.041772	41772	1	3
0.262626	6	0	12	LastDelay	0.0626256	62625.6	1	3
0.262626	6	0	12	FullDelay	0.0626256	62625.6	1	3
0.263479	8	0	24	LastDelay	0.0634792	63479.2	1	3
0.263479	8	0	24	FullDelay	0.0634792	63479.2	1	3
0.283501	10	0	4	LastDelay	0.0835008	83500.8	1	4
0.283501	10	0	4	FullDelay	0.0835008	83500.8	1	4
0.3	9	0	5	LastDelay	0	0	1	3
0.3	9	0	5	FullDelay	0	0	1	3
0.34175	6	0	1	LastDelay	0.0417504	41750.4	1	3
0.34175	6	0	1	FullDelay	0.0417504	41750.4	1	3
0.34175	7	0	1	LastDelay	0.0417504	41750.4	1	3
0.34175	7	0	1	FullDelay	0.0417504	41750.4	1	3
0.362626	8	0	27	LastDelay	0.0626256	62625.6	1	3
0.362626	8	0	27	FullDelay	0.0626256	62625.6	1	3
0.383501	10	0	14	LastDelay	0.0835008	83500.8	1	4
0.383501	10	0	14	FullDelay	0.0835008	83500.8	1	4
0.384354	11	0	60	LastDelay	0.0843544	84354.4	1	4
0.384354	11	0	60	FullDelay	0.0843544	84354.4	1	4
0.4	9	0	1	LastDelay	0	0	1	3
0.4	9	0	1	FullDelay	0	0	1	3
0.420875	6	0	14	LastDelay	0.0208752	20875.2	1	3
0.420875	6	0	14	FullDelay	0.0208752	20875.2	1	3
0.420875	7	0	63	LastDelay	0.0208752	20875.2	1	3
0.420875	7	0	63	FullDelay	0.0208752	20875.2	1	3
0.44175	8	0	21	LastDelay	0.0417504	41750.4	1	3
0.44175	8	0	21	FullDelay	0.0417504	41750.4	1	3
0.483501	10	0	48	LastDelay	0.0835008	83500.8	1	4
0.483501	10	0	48	FullDelay	0.0835008	83500.8	1	4
0.484354	11	0	51	LastDelay	0.0843544	84354.4	1	4
0.484354	11	0	51	FullDelay	0.0843544	84354.4	1	4
0.5	7	0	2	LastDelay	0	0	1	3
