Time	Node	Type	Packets	
1	p1	CacheHits	0
1	p1	CacheMisses	0
1	p2	CacheHits	0
1	p2	CacheMisses	0
1	r1	CacheHits	0
1	r1	CacheMisses	0
1	r2	CacheHits	0
1	r2	CacheMisses	0
1	r3	CacheHits	0
1	r3	CacheMisses	0
1	r4	CacheHits	0
1	r4	CacheMisses	0
1	6	CacheHits	0
1	6	CacheMisses	0
1	7	CacheHits	0
1	7	CacheMisses	0
1	8	CacheHits	0
1	8	CacheMisses	0
1	9	CacheHits	0
1	9	CacheMisses	0
1	10	CacheHits	0
1	10	CacheMisses	0
1	11	CacheHits	0
1	11	CacheMisses	0
2	p1	CacheHits	0
2	p1	CacheMisses	0
2	p2	CacheHits	0
2	p2	CacheMisses	0
2	r1	CacheHits	0
2	r1	CacheMisses	0
2	r2	CacheHits	0
2	r2	CacheMisses	0
2	r3	CacheHits	0
2	r3	CacheMisses	0
2	r4	CacheHits	0
2	r4	CacheMisses	0
2	6	CacheHits	0
2	6	CacheMisses	0
2	7	CacheHits	0
2	7	CacheMisses	0
2	8	CacheHits	0
2	8	CacheMisses	0
2	9	CacheHits	0
2	9	CacheMisses	0
2	10	CacheHits	0
2	10	CacheMisses	0
2	11	CacheHits	0
2	11	CacheMisses	0
3	p1	CacheHits	0
3	p1	CacheMisses	0
3	p2	CacheHits	0
3	p2	CacheMisses	0
3	r1	CacheHits	0
3	r1	CacheMisses	0
3	r2	CacheHits	0
3	r2	CacheMisses	0
3	r3	CacheHits	0
3	r3	CacheMisses	0
3	r4	CacheHits	0
3	r4	CacheMisses	0
3	6	CacheHits	0
3	6	CacheMisses	0
3	7	CacheHits	0
3	7	CacheMisses	0
3	8	CacheHits	0
3	8	CacheMisses	0
3	9	CacheHits	0
3	9	CacheMisses	0
3	10	CacheHits	0
3	10	CacheMisses	0
3	11	CacheHits	0
3	11	CacheMisses	0
4	p1	CacheHits	0
4	p1	CacheMisses	0
4	p2	CacheHits	0
4	p2	CacheMisses	0
4	r1	CacheHits	0
4	r1	CacheMisses	0
4	r2	CacheHits	0
4	r2	CacheMisses	0
4	r3	CacheHits	0
4	r3	CacheMisses	0
4	r4	CacheHits	0
4	r4	CacheMisses	0
4	6	CacheHits	0
4	6	CacheMisses	0
4	7	CacheHits	0
4	7	CacheMisses	0
4	8	CacheHits	0
4	8	CacheMisses	0
